house_id,dt,n_bedrooms,n_bathrooms,n_floors,S_above,S_basement,S_living,S_lot,lat,long,year_built,status,price_target
114979,2014-10-21,2,1.0,1.5,990,0,990,4313,47.5677,-122.38,1917,4,442000.0
109939,2015-04-28,2,1.0,1.0,790,0,790,11234,47.4413,-122.34899999999999,1942,4,435000.0
108646,2014-05-15,3,2.5,2.0,1720,0,1720,3600,47.6856,-122.01299999999999,2010,3,386380.0
106086,2015-05-06,6,2.75,2.0,2680,1750,4430,6440,47.5462,-122.265,1964,3,1485000.0
109078,2015-03-04,3,2.0,1.5,1070,910,1980,7680,47.6839,-122.195,1911,4,606000.0
118388,2015-03-12,5,2.75,1.0,1650,0,1650,5453,47.5293,-122.285,1970,3,183750.0
102946,2014-05-08,4,1.75,1.0,1390,1090,2480,9195,47.583999999999996,-122.195,1950,3,780000.0
107068,2014-06-10,5,3.25,2.0,2480,750,3230,3825,47.6785,-122.39200000000001,2014,3,1059500.0
101301,2015-02-25,4,3.0,2.0,1720,830,2550,5300,47.6786,-122.367,1908,3,855000.0
107276,2015-01-02,4,3.5,2.0,3110,670,3780,7769,47.691,-122.12899999999999,2001,3,782000.0
105818,2014-09-10,3,3.0,2.0,1480,310,1790,2003,47.5421,-122.321,2006,3,249950.0
102364,2014-06-19,4,3.5,2.0,3280,540,3820,13224,47.6005,-122.199,1990,3,1240000.0
119741,2014-09-25,3,1.75,1.5,1510,0,1510,30185,47.4118,-122.089,1976,3,320000.0
114996,2014-10-17,4,2.5,2.0,4200,0,4200,35267,47.7108,-122.071,1990,3,1080000.0
120371,2014-12-02,3,2.5,1.0,2160,0,2160,59241,47.3304,-122.13,2007,3,389900.0
117903,2014-06-13,3,2.5,2.0,2070,0,2070,8337,47.3658,-122.176,1997,3,325000.0
114991,2014-07-02,4,2.5,2.0,2890,0,2890,7798,47.5456,-122.12899999999999,2005,3,795000.0
104816,2014-10-17,3,1.75,1.0,1360,0,1360,10573,47.2983,-122.374,1984,4,223000.0
112713,2014-06-05,4,1.0,1.5,1250,750,2000,4676,47.5529,-122.26799999999999,1916,3,450000.0
116006,2014-09-19,4,2.75,2.0,3080,0,3080,6731,47.4522,-122.118,2003,3,550000.0
114369,2014-12-08,4,1.75,1.0,910,740,1650,6900,47.2802,-122.211,1978,3,238000.0
110545,2014-05-14,4,3.5,1.5,3110,1800,4910,9444,47.6502,-122.066,2007,3,1222500.0
104399,2015-04-21,3,1.0,1.0,800,600,1400,3538,47.5405,-122.27,1953,3,349500.0
115282,2015-04-06,3,2.5,1.0,1450,0,1450,8977,47.2576,-122.214,1990,3,265500.0
121052,2014-05-29,4,2.0,1.0,1670,0,1670,12056,47.7418,-122.244,1955,3,400000.0
114144,2014-09-03,2,1.0,1.0,930,0,930,5368,47.6952,-122.275,1953,4,420000.0
111637,2015-04-02,2,1.0,2.0,1520,0,1520,4700,47.3187,-122.182,1978,4,210000.0
102920,2015-02-04,3,1.0,1.0,1040,760,1800,5750,47.68600000000001,-122.395,1947,3,610000.0
121579,2014-07-11,4,1.75,1.0,1130,300,1430,10500,47.6083,-122.132,1960,4,412000.0
118178,2015-03-03,4,2.75,2.0,2400,0,2400,104108,47.4686,-121.98899999999999,1988,3,590000.0
119140,2014-11-03,2,2.5,3.0,1350,430,1780,1311,47.6962,-122.34,2005,3,398500.0
112589,2014-11-25,5,3.0,1.0,1860,1790,3650,16600,47.56,-122.14399999999999,1978,4,1310000.0
116189,2014-05-14,2,2.0,1.5,1600,770,2370,217800,47.5007,-122.088,1992,3,543000.0
109211,2014-07-10,3,2.5,2.0,1490,0,1490,8102,47.3712,-122.09200000000001,1990,4,260000.0
103100,2014-07-30,4,2.5,1.0,2000,1230,3230,19193,47.5755,-122.07,1973,4,795000.0
104339,2014-07-11,2,1.0,1.0,640,0,640,7768,47.515,-122.359,1942,3,165000.0
105164,2014-08-19,4,3.5,2.0,2110,1160,3270,15704,47.6256,-122.042,1990,3,650000.0
114330,2014-08-28,3,2.5,1.0,1650,1140,2790,31798,47.5241,-122.039,1953,5,640000.0
112912,2015-01-30,4,1.5,1.0,1890,0,1890,7540,47.7534,-122.318,1967,4,330000.0
104118,2014-12-14,3,1.0,1.0,1040,0,1040,7490,47.7137,-122.213,1969,3,339888.0
112025,2014-10-29,3,2.75,1.0,1180,510,1690,5763,47.7336,-122.20200000000001,1985,5,410000.0
111662,2015-03-23,3,2.5,3.0,1110,390,1500,1119,47.6327,-122.346,2008,3,605000.0
100279,2014-08-19,2,2.0,3.0,1520,0,1520,1020,47.7292,-122.34299999999999,1999,3,307300.0
119639,2015-02-20,3,1.5,1.0,1780,0,1780,214315,47.7631,-122.02799999999999,1954,3,643000.0
118822,2014-10-01,2,1.0,1.5,1570,0,1570,4400,47.6112,-122.29299999999999,1914,4,998500.0
121173,2014-12-08,4,1.0,1.5,1190,0,1190,7620,47.5281,-122.348,1926,3,312000.0
101529,2014-06-26,2,1.0,1.0,1010,0,1010,7200,47.7651,-122.291,1975,3,285000.0
106447,2014-12-03,3,2.5,1.0,1090,400,1490,8005,47.4359,-122.165,1976,3,271500.0
101272,2014-10-28,4,3.0,2.0,2290,0,2290,8250,47.3739,-122.156,1990,3,328500.0
116719,2014-05-19,2,2.0,2.0,1470,0,1470,3128,47.349,-122.021,2005,3,241000.0
105665,2015-05-11,2,2.5,3.0,1680,0,1680,977,47.632,-122.361,2009,3,935000.0
113883,2015-04-22,3,1.0,1.5,1330,0,1330,3740,47.5502,-122.274,1903,3,389000.0
107171,2014-08-29,3,1.75,1.0,1490,0,1490,8000,47.3817,-122.166,1978,3,275000.0
116033,2014-11-04,3,2.0,2.0,1560,800,2360,6149,47.5433,-122.384,1926,3,690000.0
115670,2014-11-07,4,3.5,2.0,3460,0,3460,7702,47.5942,-121.977,2010,3,855000.0
111937,2014-09-15,4,2.25,1.0,2060,0,2060,12155,47.6378,-122.117,1968,4,575000.0
120047,2014-07-08,4,4.0,2.0,3010,0,3010,7221,47.5833,-121.97,2004,3,765000.0
110010,2014-09-26,3,1.0,1.0,910,0,910,7686,47.3405,-122.288,1969,3,169000.0
119618,2014-05-20,2,1.0,1.0,1040,750,1790,4000,47.6405,-122.301,1923,4,710000.0
114239,2015-04-22,4,3.25,2.0,3530,0,3530,20012,47.7193,-122.12700000000001,1986,3,995000.0
119378,2014-05-14,5,2.5,2.0,1760,780,2540,3832,47.6848,-122.398,1929,5,620000.0
111664,2014-12-16,2,1.5,1.0,1000,800,1800,4500,47.6305,-122.34700000000001,1942,3,930000.0
108949,2015-02-02,5,2.0,1.5,2150,0,2150,4500,47.5582,-122.38799999999999,1938,3,490000.0
103007,2015-04-07,3,2.25,2.0,1140,310,1450,1619,47.6076,-122.304,2006,3,521500.0
108010,2014-06-11,1,1.75,1.0,550,200,750,20339,47.4756,-122.09,1946,4,355000.0
112636,2014-10-15,4,1.75,1.0,960,960,1920,7986,47.7209,-122.318,1952,3,440000.0
100127,2014-11-11,5,3.5,2.0,2440,0,2440,10200,47.5814,-122.00299999999999,1974,4,519950.0
107789,2014-06-10,6,1.5,1.0,1030,900,1930,8400,47.4869,-122.34,1971,3,175000.0
120129,2014-07-23,3,2.25,2.0,1760,0,1760,10013,47.5336,-122.189,1983,4,450000.0
118885,2015-04-13,3,2.25,1.0,1460,0,1460,7210,47.6316,-122.119,1963,3,505000.0
120656,2015-04-27,3,2.25,1.0,1250,580,1830,11331,47.2899,-122.287,1965,3,230000.0
109281,2014-10-21,3,1.75,1.0,1070,170,1240,7560,47.333,-122.3,1967,3,222000.0
110590,2014-11-24,4,1.75,1.0,960,960,1920,7455,47.7106,-122.286,1939,4,571500.0
102988,2014-09-18,5,3.5,2.0,4140,0,4140,7642,47.591,-122.008,2003,3,720000.0
110993,2014-12-17,6,2.5,1.0,1370,1190,2560,8320,47.7021,-122.287,1961,3,632000.0
115272,2014-07-23,4,2.5,1.0,1520,740,2260,9686,47.286,-122.21799999999999,1965,4,224950.0
118893,2015-04-21,4,2.25,2.0,1860,0,1860,3766,47.5699,-122.006,1995,3,535000.0
121522,2014-06-19,5,3.0,2.0,2610,720,3330,19126,47.5485,-122.214,1977,4,1190000.0
111738,2014-07-23,3,2.25,2.0,1670,0,1670,7150,47.3603,-122.088,1990,4,282500.0
120502,2014-06-23,4,2.0,1.0,1060,670,1730,3884,47.6624,-122.34899999999999,1924,5,569000.0
104490,2014-07-01,2,1.0,1.5,910,0,910,2002,47.6188,-122.306,1900,3,600000.0
116241,2014-11-03,3,2.25,1.5,1640,780,2420,5304,47.6765,-122.285,1947,5,697000.0
114236,2014-07-18,2,1.0,1.0,1270,0,1270,19602,47.3375,-122.04799999999999,1977,3,260000.0
114277,2014-10-06,3,1.5,1.0,1470,0,1470,6867,47.7495,-122.32700000000001,1955,3,401000.0
105444,2014-10-30,3,1.0,1.0,650,620,1270,8508,47.4961,-122.322,1942,4,134000.0
102698,2014-08-22,3,2.5,2.0,1640,0,1640,7668,47.3505,-122.027,1991,3,265000.0
108250,2015-05-01,3,1.0,1.0,980,0,980,10960,47.5908,-122.17299999999999,1953,4,550000.0
115853,2015-03-09,3,1.5,1.5,1220,0,1220,835,47.6981,-122.34100000000001,1950,4,415000.0
120121,2015-03-23,4,2.5,2.0,2460,0,2460,9296,47.6125,-122.152,1978,3,722500.0
110247,2015-02-04,3,2.0,1.0,1370,0,1370,7500,47.3634,-122.046,1997,3,252000.0
111800,2015-02-11,3,1.5,1.0,1910,0,1910,21374,47.6453,-122.214,1955,1,1500000.0
101940,2015-04-09,4,2.0,2.0,1700,0,1700,12048,47.3748,-122.186,1990,3,277500.0
120334,2015-03-26,3,2.0,1.0,1130,0,1130,16875,47.7489,-122.3,1947,4,349500.0
106928,2015-01-08,3,2.25,2.0,1760,0,1760,45133,47.5124,-121.866,1984,3,387000.0
108365,2015-04-07,3,1.75,1.0,1230,860,2090,8910,47.7149,-122.22200000000001,1975,3,536650.0
117948,2015-05-07,2,1.0,1.0,910,0,910,5525,47.5322,-122.37899999999999,1910,2,370000.0
119687,2014-05-28,3,2.5,2.0,2190,0,2190,10370,47.6218,-122.03,1987,3,665000.0
114710,2014-10-02,3,1.0,1.0,1130,680,1810,7200,47.7493,-122.351,1954,4,287500.0
121279,2014-05-16,3,2.5,2.0,1180,300,1480,1663,47.5443,-122.375,2012,3,341000.0
120065,2015-04-28,3,2.25,1.0,1960,0,1960,10682,47.6319,-122.124,1957,3,450000.0
100538,2015-03-13,4,2.25,2.0,2240,0,2240,9990,47.5516,-122.21700000000001,1967,4,975000.0
112793,2015-02-19,2,1.75,1.0,1780,0,1780,224769,47.4158,-122.00200000000001,1976,4,535000.0
103648,2014-12-09,4,2.5,2.0,2980,0,2980,8770,47.5814,-122.029,1990,3,680000.0
106721,2015-03-21,3,2.5,2.0,2490,0,2490,5978,47.6298,-122.022,2003,3,645000.0
119259,2014-07-08,3,1.0,1.5,1350,0,1350,8700,47.4497,-122.289,1942,3,160000.0
106314,2014-06-25,4,1.5,1.0,1440,440,1880,6200,47.5035,-122.384,1954,5,680000.0
100075,2014-11-12,4,2.5,2.0,3390,0,3390,7870,47.4536,-122.274,2014,3,495000.0
106884,2014-12-29,4,2.5,2.0,1940,0,1940,4875,47.6427,-122.304,1925,4,1151250.0
118350,2014-06-17,3,2.0,1.0,1270,600,1870,5909,47.3665,-122.18299999999999,1986,3,259000.0
118863,2014-07-23,4,2.5,1.0,1460,400,1860,8117,47.6228,-122.104,1966,4,585000.0
118165,2015-04-30,4,2.5,1.0,1380,860,2240,6920,47.5011,-122.375,1974,5,535000.0
113764,2015-04-29,5,3.0,1.5,2000,1230,3230,5167,47.7053,-122.34,1909,4,729953.0
115815,2015-04-21,4,2.5,1.5,3210,0,3210,24527,47.6399,-122.052,1984,3,785000.0
107513,2014-05-21,3,1.75,1.0,1230,0,1230,13056,47.3171,-122.279,1962,4,175000.0
116172,2014-07-23,4,2.5,1.0,1210,1210,2420,10603,47.7397,-122.259,1958,5,485000.0
113721,2014-06-13,3,1.75,1.0,1500,0,1500,8173,47.7293,-122.227,1997,3,435000.0
110901,2015-04-22,2,1.75,1.0,1460,0,1460,10500,47.4461,-121.76799999999999,1980,3,220650.0
117573,2015-04-15,3,2.25,1.0,1100,530,1630,10962,47.3801,-122.166,1977,4,305000.0
108623,2014-05-29,3,1.75,2.0,1590,0,1590,7617,47.3819,-122.31200000000001,1986,3,210000.0
117179,2014-12-05,4,2.75,1.0,1190,950,2140,4000,47.6792,-122.287,1951,3,625000.0
101476,2014-10-10,3,2.25,3.0,1250,0,1250,1017,47.7099,-122.333,2008,3,318000.0
121179,2014-07-29,4,1.75,2.0,1800,0,1800,4180,47.6462,-122.318,1921,4,865000.0
101755,2014-10-29,3,2.0,1.0,1880,800,2680,8429,47.372,-122.036,1950,4,653000.0
120680,2014-09-03,3,2.25,2.0,2100,0,2100,8276,47.6068,-122.11200000000001,1979,4,600000.0
112553,2014-08-18,3,1.0,1.0,850,170,1020,4980,47.7039,-122.34,1941,4,350000.0
101121,2014-07-17,4,2.0,1.5,1720,610,2330,5000,47.6804,-122.35799999999999,1925,5,891000.0
111137,2014-05-15,3,1.5,1.0,1340,0,1340,10224,47.5752,-122.15700000000001,1956,4,417000.0
115750,2015-02-25,4,2.25,2.0,2240,0,2240,8322,47.728,-122.206,1979,3,482000.0
103893,2015-04-06,3,1.75,1.0,1200,330,1530,8028,47.7768,-122.361,1967,3,443000.0
108356,2015-02-14,2,1.0,1.0,1130,0,1130,5070,47.5141,-122.37700000000001,1955,4,325000.0
116751,2014-11-05,3,2.25,1.0,1500,150,1650,10336,47.7757,-122.35,1962,3,290000.0
112509,2014-05-05,3,2.0,1.5,1810,540,2350,5700,47.638999999999996,-122.31,1939,4,770000.0
112668,2014-12-09,4,3.25,1.0,2690,1600,4290,12103,47.5503,-122.102,1997,3,1400000.0
111514,2014-08-01,2,2.5,2.0,1100,0,1100,1737,47.4499,-122.189,2006,3,190000.0
105598,2014-06-09,4,1.75,1.5,2700,0,2700,7875,47.45399999999999,-122.14399999999999,1968,4,390000.0
121009,2014-12-16,3,1.75,1.0,1370,0,1370,14030,47.2969,-122.163,1977,4,235000.0
113092,2015-03-12,2,1.0,1.0,880,0,880,2970,47.6868,-122.34899999999999,1927,3,492000.0
119139,2014-07-15,1,1.75,1.0,720,720,1440,4920,47.534,-122.376,1923,3,390000.0
107689,2014-05-23,3,1.0,1.0,1200,600,1800,5612,47.525,-122.37799999999999,1942,4,383000.0
102330,2014-08-14,3,2.5,2.0,1650,0,1650,3076,47.681999999999995,-122.035,2003,3,447000.0
112428,2014-08-06,4,3.25,2.0,2820,0,2820,13059,47.4508,-122.132,1976,4,432000.0
112040,2015-04-14,2,1.0,1.0,890,0,890,4804,47.7027,-122.346,1928,4,220000.0
118840,2015-04-05,3,1.5,1.0,1010,480,1490,10367,47.4973,-122.34700000000001,1957,3,285000.0
104838,2014-10-10,5,3.25,2.0,2140,1230,3370,7313,47.5632,-122.015,1988,4,690000.0
118181,2014-07-31,4,2.5,2.0,2080,0,2080,2999,47.4909,-122.15700000000001,1998,3,300000.0
106746,2014-05-05,3,1.0,1.0,1450,0,1450,6000,47.5238,-122.287,1953,4,287000.0
104155,2015-05-07,3,2.5,2.0,2880,0,2880,426452,47.2485,-122.101,1979,3,450000.0
109589,2014-05-13,3,2.5,1.0,840,610,1450,5008,47.5435,-122.35700000000001,2007,3,330000.0
102233,2014-08-18,4,2.5,2.0,2890,0,2890,9045,47.7385,-121.965,2001,3,550000.0
120484,2014-08-14,7,3.75,2.0,2310,0,2310,5000,47.6781,-122.376,1984,3,727160.0
112317,2014-09-11,3,2.5,2.0,2150,0,2150,15304,47.5573,-122.13600000000001,1979,4,649950.0
106582,2014-07-22,4,2.5,2.0,2600,0,2600,9935,47.4865,-122.14200000000001,2005,3,540000.0
119237,2014-06-26,2,1.75,1.0,1160,790,1950,10766,47.4504,-122.37700000000001,1952,4,669000.0
108002,2014-08-05,3,2.5,2.0,2230,0,2230,7934,47.5439,-121.88,2005,3,445000.0
100246,2014-11-12,2,2.5,2.0,1830,0,1830,2856,47.5524,-121.99600000000001,2005,3,524950.0
103981,2014-08-15,2,1.0,1.0,880,0,880,9000,47.4672,-122.291,1928,3,130000.0
111485,2014-08-08,4,3.25,2.0,4670,0,4670,51836,47.635,-122.164,1988,4,1578000.0
120343,2014-08-04,3,2.5,2.0,1940,0,1940,5660,47.7511,-122.17,2001,3,488000.0
117602,2014-06-23,2,1.0,1.0,1010,0,1010,3000,47.4965,-121.785,1925,4,280000.0
110943,2015-03-31,3,1.75,1.0,1430,0,1430,7210,47.4189,-122.16799999999999,1975,3,257000.0
109313,2015-04-03,3,1.0,1.0,840,0,840,9480,47.3277,-122.34100000000001,1960,3,199950.0
109751,2015-04-21,3,1.75,1.0,2320,0,2320,55847,47.3121,-122.25299999999999,1960,4,541500.0
112563,2014-07-03,4,1.75,1.0,1050,1030,2080,7200,47.3385,-122.28200000000001,1966,4,198000.0
115096,2014-08-04,3,2.5,2.0,2750,0,2750,35440,47.4745,-121.723,1994,3,556000.0
110535,2015-03-23,2,1.0,1.0,1180,1180,2360,105850,47.2495,-121.97,1947,2,370000.0
102178,2015-01-21,3,1.75,1.0,1490,0,1490,9493,47.4514,-122.134,1976,4,312500.0
101243,2014-09-22,3,1.75,2.0,1550,0,1550,1905,47.4331,-122.195,2005,3,242500.0
103150,2014-06-05,4,2.25,1.5,1330,0,1330,8400,47.6078,-122.169,1962,3,540000.0
105760,2014-05-29,4,2.5,2.0,2760,0,2760,6850,47.5346,-122.185,1999,3,602500.0
103752,2014-08-11,3,2.5,1.0,3050,0,3050,33920,47.7034,-122.072,2004,3,840000.0
110621,2014-10-21,4,2.5,2.0,2180,0,2180,5367,47.3775,-122.022,2000,3,339995.0
106345,2014-06-16,4,2.0,1.0,1580,0,1580,9581,47.692,-122.165,1953,3,410000.0
106922,2014-08-13,3,2.25,1.0,1160,310,1470,7518,47.2725,-122.3,1985,3,220000.0
106745,2015-03-05,4,3.5,2.0,2030,1040,3070,4440,47.5732,-122.411,1922,3,900000.0
107540,2014-05-19,2,2.25,2.0,1610,0,1610,2040,47.518,-122.194,1979,4,215000.0
110307,2014-12-12,5,2.5,1.0,1680,1200,2880,6902,47.4332,-122.14399999999999,1976,3,360000.0
114707,2014-12-15,3,1.5,1.5,2210,0,2210,11111,47.492,-122.309,1934,3,250000.0
101249,2014-05-22,2,1.75,1.0,1060,0,1060,16470,47.7409,-122.089,1977,3,356000.0
109202,2014-10-21,3,2.5,2.0,1770,0,1770,5000,47.3358,-122.051,2009,3,255500.0
121013,2015-01-26,4,1.75,1.5,1360,900,2260,7200,47.5122,-122.186,1924,5,380000.0
113445,2014-05-05,3,2.0,1.0,1080,720,1800,5000,47.6738,-122.29700000000001,1942,4,618500.0
105313,2014-11-24,4,2.5,2.0,1950,0,1950,5451,47.4341,-122.14399999999999,2004,3,360000.0
105850,2014-06-18,5,3.25,2.0,3030,820,3850,16249,47.3324,-122.16799999999999,2002,3,507000.0
104094,2014-09-27,4,2.75,1.0,1810,1340,3150,6343,47.5424,-122.381,1976,3,750000.0
115588,2014-05-28,6,2.75,1.0,2070,1540,3610,17580,47.5739,-122.069,1959,5,968000.0
117108,2014-07-08,3,3.25,2.0,1180,270,1450,1387,47.5556,-122.36200000000001,2013,3,320000.0
108273,2014-07-08,2,2.0,1.0,1570,0,1570,4665,47.708999999999996,-122.01700000000001,2006,3,592350.0
109507,2015-01-16,3,2.5,2.0,1600,0,1600,2388,47.5345,-122.069,2004,3,400000.0
113862,2014-10-21,3,1.75,1.0,1530,0,1530,7238,47.7629,-122.315,1959,3,418000.0
113147,2015-04-23,3,2.25,3.0,1190,0,1190,1022,47.6972,-122.34899999999999,1998,3,350000.0
118735,2014-12-02,4,2.25,1.0,1810,790,2600,28600,47.7757,-122.139,1968,3,440000.0
110902,2014-07-02,4,2.0,1.0,2090,0,2090,10800,47.5759,-122.223,1951,4,659000.0
116379,2014-08-04,3,2.5,1.0,3240,340,3580,118047,47.4453,-121.98,1992,3,616500.0
103411,2014-10-14,4,3.5,2.0,2290,1020,3310,4684,47.57899999999999,-122.389,2014,3,999950.0
115158,2014-10-23,4,2.0,1.5,1690,0,1690,7728,47.3666,-122.318,1967,4,207000.0
109173,2014-07-10,4,1.5,2.0,2130,0,2130,5000,47.5828,-122.291,1920,4,749000.0
109953,2014-08-25,2,1.0,1.0,960,0,960,5000,47.6755,-122.367,1900,4,500000.0
117407,2014-09-19,2,1.0,1.0,1120,1120,2240,7200,47.5631,-122.271,1940,4,435000.0
119739,2014-05-15,3,2.0,1.0,1160,490,1650,7352,47.4612,-122.169,1979,3,252350.0
107265,2014-06-25,5,3.25,2.0,3370,0,3370,7947,47.6906,-122.20200000000001,2001,3,1065000.0
112600,2014-12-12,3,3.5,1.0,1340,1010,2350,10739,47.7288,-122.28399999999999,1940,5,760000.0
100463,2015-05-11,3,2.0,1.0,1620,0,1620,9566,47.474,-122.146,1968,4,382880.0
114845,2014-10-09,4,2.0,1.0,1690,0,1690,35346,47.6149,-122.124,1967,3,612500.0
121142,2014-11-19,3,1.0,1.0,1190,0,1190,7000,47.6453,-122.40299999999999,1943,3,517500.0
104639,2014-08-20,3,1.5,1.0,1250,0,1250,7200,47.3678,-122.28200000000001,1978,4,165000.0
105656,2014-09-04,3,2.75,2.5,1650,590,2240,3600,47.6244,-122.32600000000001,1901,3,625000.0
109089,2014-11-18,4,2.25,2.0,1710,310,2020,4960,47.6867,-122.369,1938,3,490000.0
107349,2014-12-08,3,2.5,2.0,2680,0,2680,43995,47.7655,-122.086,1986,3,600000.0
104725,2014-08-05,6,2.75,1.0,1940,1660,3600,9675,47.5726,-122.213,1977,4,1000000.0
110546,2014-10-16,4,2.5,2.0,3170,0,3170,9900,47.6181,-122.147,1979,4,777000.0
100719,2014-08-27,4,2.0,1.0,2100,0,2100,12620,47.7239,-122.17299999999999,1972,4,500000.0
102696,2014-08-04,4,1.75,1.0,1630,850,2480,11010,47.5378,-122.219,1966,4,840000.0
121064,2015-03-04,1,1.0,1.0,620,0,620,5100,47.5699,-122.287,1954,3,385000.0
101599,2014-11-05,3,1.0,1.0,860,0,860,10426,47.4987,-122.34100000000001,1954,3,82000.0
112694,2014-10-16,3,2.5,1.0,1690,480,2170,9900,47.3634,-122.031,1980,3,242050.0
115039,2014-09-24,5,4.5,2.0,4440,0,4440,9784,47.4702,-122.275,2012,3,600000.0
107873,2015-04-29,4,1.75,1.0,1080,1060,2140,4959,47.5166,-122.266,1965,3,350000.0
116415,2014-05-14,4,2.75,1.0,2450,0,2450,15002,47.4268,-122.34299999999999,1974,5,530000.0
115831,2014-10-07,4,2.75,2.0,2990,0,2990,4298,47.7101,-122.10799999999999,2014,3,779950.0
120082,2015-04-23,4,1.5,1.5,1730,0,1730,7020,47.4939,-122.167,1953,4,268000.0
104733,2014-10-21,3,1.5,1.0,1410,0,1410,9000,47.7635,-122.35,1953,3,275000.0
109617,2014-06-03,4,2.5,2.0,2240,0,2240,3712,47.3551,-122.061,2014,3,363990.0
106741,2014-11-03,3,1.0,1.0,1190,260,1450,5378,47.6436,-122.405,1939,3,585000.0
107503,2014-10-13,3,1.5,2.0,1390,0,1390,13860,47.4704,-121.74700000000001,1979,3,345000.0
